Space Type: RealVectorSpaceFCL Type
Space dimension: 2
Planner type:	RRTConnect
Tree: start
q: (-1.5708       0); parent q: NONE
q: (-0.157321  -2.85028); parent q: (-0.348464  -2.90914)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: (-0.348463  -2.90914); parent q: (-0.157321  -2.85028)
q: ( -1.02564 -0.673073); parent q: (-0.852996  -0.77404)
q: (-2.30981 -3.89175); parent q: (-2.18083 -4.04461)
q: (-2.30981 -3.89175); parent q: (-2.18083 -4.04461)
q: (-2.43879  -3.7389); parent q: (-2.30981 -3.89175)
q: (-2.43879  -3.7389); parent q: (-2.30981 -3.89175)
q: (-2.56777 -3.58605); parent q: (-2.43879  -3.7389)
q: (-2.56777 -3.58605); parent q: (-2.43879  -3.7389)
q: (-2.69674 -3.43319); parent q: (-2.56777 -3.58605)
q: (-2.69674 -3.43319); parent q: (-2.56777 -3.58605)
q: (-2.82572 -3.28034); parent q: (-2.69674 -3.43319)
q: (-2.82572 -3.28034); parent q: (-2.69674 -3.43319)
q: ( -2.9547 -3.12748); parent q: (-2.82572 -3.28034)
q: ( -2.9547 -3.12748); parent q: (-2.82572 -3.28034)
q: (-3.08368 -2.97463); parent q: ( -2.9547 -3.12748)
q: (-3.08368 -2.97463); parent q: ( -2.9547 -3.12748)
q: (-3.21266 -2.82177); parent q: (-3.08368 -2.97463)
q: (-3.21266 -2.82177); parent q: (-3.08368 -2.97463)
q: (-3.34164 -2.66892); parent q: (-3.21266 -2.82177)
q: (-3.34164 -2.66892); parent q: (-3.21266 -2.82177)
q: (-3.47062 -2.51606); parent q: (-3.34164 -2.66892)
q: (-3.47062 -2.51606); parent q: (-3.34164 -2.66892)
q: (-0.0961386   -3.04069); parent q: (-0.157321  -2.85028)
Path:
q: (-1.5708       0); parent q: NONE
q: ( -1.61567 -0.194901); parent q: (-1.5708       0)
q: ( -1.46295 -0.324043); parent q: ( -1.61567 -0.194901)
q: (-1.42563 -0.52053); parent q: ( -1.46295 -0.324043)
